Date,Amount,Description,Credit/Debit,Category
2023-11-02,5.79,"Payment 2023-11-01 07:45:08 Upwork -634660777REF, Upwork.com bi, IE CD 5465 (159600), card *5465, not present, code: yes",D,None
2023-11-02,3.96,"Payment 2023-11-01 14:12:07 K-market Freda, 00100, HELSINKI, FI CD 5465 (8070), card *5465, present, code: yes",D,None
2023-11-03,0.52,"European POS charges, card *5465, not present, code: no",D,None
2023-11-03,59.54,"Payment 2023-11-02 18:58:59 AWS EMEA, aws.amazon.co, LU, USD 62.61 FX Rate 1.0516 CD 5465 (278328), card *5465, not present, code: yes",D,None
2023-11-05,10.0,"Payment 2023-11-03 16:04:48 SAUNALAHTI PIKA, 00520, HELSINKI, FI CD 5465 (388475), card *5465, not present, code: yes",D,None
2023-11-11,18.9,"Payment 2023-11-10 14:37:23 BOLT.EU O 2311101237, Tallinn, EE CD 5465 (234142), card *5465, not present, code: yes",D,None
2023-11-13,9.13,"Payment 2023-11-12 09:05:53 PAYPAL *TUNECORE, 95131, 402-935-7733, US CD 5465 (30048), card *5465, not present, code: yes",D,None
2023-11-14,1.0,Monthly card fee for 2023-11-14 - 2023-12-13,D,None
2023-11-15,0.24,"Abroad POS charges, card *5465, not present, code: no",D,None
2023-11-15,11.35,"Payment 2023-11-14 13:08:15 MIDJOURNEY INC., 94080, HTTPSWWW.MIDJ, US, USD 12.10 FX Rate 1.0661 CD 5465 (900413), card *5465, not present, code: yes",D,None
2023-11-20,1000.0,'-,C,None
2023-11-23,196.71,"Payment 2023-11-20 10:18:29 PAYPAL *ZACL, 35314369001, LU CD 5465 (285641), card *5465, not present, code: yes",D,None
2023-12-03,151.45,"Payment 2023-12-03 03:55:32 AWS EMEA, aws.amazon.co, LU, USD 163.98 FX Rate 1.0827 CD 5465 (415726), card *5465, not present, code: yes",D,None
2023-12-03,1.16,"European POS charges, card *5465, not present, code: no",D,None
2023-12-06,10.0,"Payment 2023-12-04 16:03:34 SAUNALAHTI PIKA, 00520, HELSINKI, FI CD 5465 (130224), card *5465, not present, code: yes",D,None
2023-12-13,21.99,"Payment 2023-12-12 12:27:45 APPLE.COM BILL, ITUNES.COM, IE CD 5465 (855492), card *5465, not present, code: yes",D,None
2023-12-14,1.0,Monthly card fee for 2023-12-14 - 2024-01-13,D,None
2023-12-15,28.0,"Payment 2023-12-14 23:45:18 BOLT.EU O 2312142145, Tallinn, EE CD 5465 (151267), card *5465, not present, code: yes",D,None
2023-12-16,7.7,"Payment 2023-12-16 03:07:39 BOLT.EU O 2312160107, Tallinn, EE CD 5465 (384658), card *5465, not present, code: yes",D,None
2023-12-20,0.23,"Abroad POS charges, card *5465, not present, code: no",D,None
2023-12-20,10.97,"Payment 2023-12-18 13:10:45 CHEAPSSLSECURITY.COM, 19808, 727-8201165, US, USD 11.94 FX Rate 1.0884 CD 5465 (596), card *5465, not present, code: yes",D,None
2023-12-21,11.09,"Payment 2023-12-20 22:02:50 MIDJOURNEY INC., 94080, HTTPSWWW.MIDJ, US, USD 12.10 FX Rate 1.0911 CD 5465 (576571), card *5465, not present, code: yes",D,None
2023-12-21,0.23,"Abroad POS charges, card *5465, not present, code: no",D,None
2023-12-22,67.74,"Payment 2023-12-19 15:21:04 PAYPAL *CONTABO, 81549, 35314369001, DE CD 5465 (984542), card *5465, not present, code: yes",D,None
2023-12-22,80.0,"Payment 2023-12-19 15:17:18 PAYPAL *CONTABO, 81549, 35314369001, DE CD 5465 (984297), card *5465, not present, code: yes",D,None
2023-12-27,7.7,"Payment 2023-12-27 00:39:01 BOLT.EU O 2312262239, Tallinn, EE CD 5465 (381791), card *5465, not present, code: yes",D,None
2024-1-27,7.7,"Payment 2023-12-27 00:39:01 BOLT.EU O 2312262239, Tallinn, EE CD 5465 (381791), card *5465, not present, code: yes",D,None
2024-2-27,7.7,"Payment 2023-12-27 00:39:01 BOLT.EU O 2312262239, Tallinn, EE CD 5465 (381791), card *5465, not present, code: yes",D,None
2024-3-27,7.7,"Payment 2023-12-27 00:39:01 BOLT.EU O 2312262239, Tallinn, EE CD 5465 (381791), card *5465, not present, code: yes",D,None
2024-4-27,7.7,"Payment 2023-12-27 00:39:01 BOLT.EU O 2312262239, Tallinn, EE CD 5465 (381791), card *5465, not present, code: yes",D,None
2024-5-27,7.7,"Payment 2023-12-27 00:39:01 BOLT.EU O 2312262239, Tallinn, EE CD 5465 (381791), card *5465, not present, code: yes",D,None
